name	submodule	is_seed	spd	component_id
Q8TAQ2	3	1	0.19852941176470587	0
Q969G3	3	1	0.2	0
P51532	3	1	0.15625	0
P51531	3	1	0.1568627450980392	0
Q96EZ8	3	1	0.0641025641025641	0
O75177	3	1	0.1891891891891892	0
Q9UIG0	3	0	0.2702702702702703	0
Q9BZ95	3	0	0.28205128205128205	0
Q02880	3	0	0.3709677419354839	0
Q14696	3	0	0.17391304347826086	0
Q8WUB8	3	0	0.20689655172413793	0
Q92782	3	0	0.4	0
Q9H8M2	3	0	0.2727272727272727	0
O96019	3	0	0.09734513274336283	0
Q13247	4	1	0.13513513513513514	0
Q13243	4	1	0.11864406779661017	0
P84103	4	1	0.11347517730496454	0
Q96SB4	4	1	0.12184873949579832	0
Q08170	4	1	0.10909090909090909	0
Q01081	4	1	0.10810810810810811	0
Q12926	4	1	0.042105263157894736	0
Q5VTL8	4	1	0.11764705882352941	0
Q9H000	4	1	0.07142857142857142	0
Q6NXP0	4	1	1.0	0
P78362	4	0	0.08974358974358974	0
Q07955	4	0	0.125	0
Q8TA86	4	0	0.375	0
Q6NYC1	4	0	0.0684931506849315	0
Q9UK58	4	0	0.42857142857142855	0
Q8WTQ4	4	0	0.6666666666666666	0
Q9HCS5	4	0	0.2857142857142857	0
Q9H607	4	0	0.6666666666666666	0
Q15434	4	0	0.23529411764705882	0
O75494	4	0	0.14285714285714285	0
Q9NUH8	4	0	0.13333333333333333	0
Q8N5F7	4	0	0.10909090909090909	0
Q96QA6	4	0	0.6666666666666666	0
Q9BYE3	4	0	1.0	0
Q9H2S1	4	0	0.6666666666666666	0
O00422	4	0	0.12727272727272726	0
Q6P1R4	4	0	1.0	0
Q96K75	4	0	1.0	0
P51617	5	1	0.09523809523809523	0
Q9Y6K9	5	1	0.09192200557103064	0
Q9UHD2	5	1	0.07746478873239436	0
Q9Y4K3	5	1	0.07297830374753451	0
Q13546	5	1	0.08163265306122448	0
Q9NYJ8	5	1	0.16831683168316833	0
Q15750	5	1	0.1	0
P49116	5	1	0.20408163265306123	0
Q7Z434	5	1	0.11	0
Q8WXF8	5	1	0.1111111111111111	0
Q8N5C8	5	0	0.2857142857142857	0
Q86V59	5	0	0.2857142857142857	0
Q14142	5	0	0.3333333333333333	0
O94826	5	0	0.14285714285714285	0
Q9NSK7	5	0	0.5	0
P56211	5	0	0.125	0
Q5T686	5	0	0.3333333333333333	0
Q02045	5	0	0.5	0
Q9BR61	5	0	0.3333333333333333	0
Q96CG3	5	0	0.11764705882352941	0
Q96AX9	5	0	0.25	0
Q10589	5	0	0.13333333333333333	0
Q12765	5	0	0.13333333333333333	0
O43353	5	0	0.14864864864864866	0
Q8NFM7	5	0	0.14285714285714285	0
