Q9NWB1,Q9UBD0
A1KZ92,Q96T49
P07306,Q9UBE8
P07306,Q6UXB4
P07306,P80404
Q02153,Q9UPQ3
Q93045,Q9UH03
Q93045,Q9UL62
Q93045,Q96PX6
Q93045,Q96D09
Q96LI6,Q9UPW6
Q96LI6,Q9NWB1
Q6P1W5,Q6PKX4
Q6P1W5,Q9NWB1
Q6P1W5,Q8IYR0
Q6P1W5,Q96NJ5
Q6P1W5,Q9NPG2
P18509,P41587
P18509,P47872
P18509,Q9UHG2
P18509,P41586
P01568,Q86W67
P22748,Q9Y6R1
P22748,P48751
O43236,Q16143
O43236,O60260
O43236,Q8IYM1
O43236,Q9UH03
O43236,Q99719
O43918,Q9NVE4
O43918,P20648
P28223,P78352
P28223,P78559
P28223,Q7Z6G8
P28223,Q16288
P28223,Q14416
P08172,Q96D09
P08172,Q5JY77
P08172,Q96DD7
P08172,Q99962
P08172,P41732
O95259,Q8NCM2
O95259,Q9H3M0
O95259,P48547
O95259,Q14721
Q9UBM8,Q9UHG2
O60262,P16520
O60262,Q8N5S1
P02765,P35219
P02765,Q8N9F7
P02765,Q9UK22
P21728,Q05586
P21728,Q9NYX4
P21728,Q9Y5N1
P21728,P30542
O43613,P21554
Q8NFW9,Q8TAB5
Q9NSN8,Q9Y4J8
P50406,Q9UBB6
P50406,Q59EK9
P61328,Q13387
Q96D98,Q9HCI5
P11229,Q5JY77
P11229,Q96D09
O43505,Q9NRU3
O43505,O94910
O43505,Q8WY07
O43505,O43529
Q9HBW1,Q9Y2I2
Q9HBW1,Q9HCJ2
A7E2Y1,Q8NB12
O14578,Q05586
O14578,O15399
O14578,P78352
P0DN37,Q05639
P0DN37,Q9Y698
P0DN37,Q8TDW7
Q92913,Q9UQD0
Q15256,Q9UL42
Q15256,Q15759
Q15256,Q15303
P48050,Q15700
P48050,P78352
P04628,Q9Y5W5
O60477,Q8N5S9
Q13562,Q92784
O95990,Q9BUH8
O95990,Q96JN2
Q86SE5,Q8TAP4
P23560,Q96PQ0
P23560,Q16620
P35348,P35368
P35348,Q07699
P35348,Q9HCP6
P35348,Q96CW9
P35348,Q96D05
O95502,Q15818
O95502,P11686
O14531,Q16827
O14531,Q99962
O14531,Q9BPU6
Q92784,Q9NY65
Q8N2Q7,Q9NZ94
Q9BVH7,Q9UK22
P01303,P32245
P01303,Q9Y5X5
P01303,Q16568
P21554,P28223
P21554,P47736
P08247,Q16623
Q3SYB3,Q9NZR2
P35462,P62166
P35462,Q9H4G0
P35462,Q99962
Q86UL8,Q9UQB3
Q86UL8,Q8TD84
Q400G9,Q92558
P16157,P32004
P16157,P21817
P16157,P48751
Q86UE6,Q86WK6
P16520,Q9P2W3
P16520,Q14206
P16520,P50150
P16520,P63215
P16520,Q96D21
P16520,P49758
P00747,P01042
P00747,Q4VCS5
P00747,Q99574
O94760,Q9BTV5
P55289,Q13634
Q9BXY8,Q9Y2D8
Q9NZ72,Q9UL62
Q6B0B8,Q8N8M0
Q16281,Q9NP78
Q16281,Q9NRW1
Q16281,Q9NQW8
P49418,Q8NFH8
P49418,Q05193
P49418,Q9BQI5
P49418,Q99962
P49418,Q9UQ16
P49418,Q8N398
P49418,Q15078
Q99490,Q9H4G0
P78348,Q16515
O14967,P51811
O14967,Q16720
P80404,Q9Y2T3
P18505,P24588
P18505,Q9HD90
O00445,P50406
O00445,P21579
O00445,Q9BQG1
P03971,Q96KR7
Q02641,Q08289
Q02641,Q8N350
P42261,P42262
P42261,Q86YM7
P42261,Q13002
P42261,Q9H4G0
P42261,Q9Y698
P42261,P48058
O14594,Q02246
O14594,Q92752
O14594,P21246
O14594,P32004
O14594,P13591
Q02246,Q92823
Q02246,Q9UHC6
Q02246,Q12860
Q14990,Q15078
Q14990,Q5JR59
P22459,P22460
P22459,Q9NSN8
P22459,Q15700
P22459,P78352
P22459,P35609
P22459,Q09470
P22459,Q13303
P61764,Q9NZH0
P61764,Q15078
P61764,Q14183
P61764,Q16623
P78559,Q12791
P78559,Q8WZA2
P78559,Q15700
Q13554,Q3V5L5
Q13554,Q96S95
Q13554,Q8N446
