name	is_seed	spd	component_id
Q99729	0	0.9583333333333334	0
P62906	0	0.9064039408866995	0
Q9UHA3	0	0.9629629629629629	0
Q8IY81	0	0.9492753623188406	0
Q9H8H2	0	0.6542056074766355	0
Q7L2E3	0	0.9145299145299145	0
Q96ME7	0	0.8536585365853658	0
Q15910	0	0.8419540229885057	0
Q15366	0	0.8956521739130435	0
Q08211	0	0.9305555555555556	0
Q9NZI8	0	0.96875	0
Q02543	0	0.9163346613545816	0
Q9H361	0	0.8709677419354839	0
Q99873	0	0.8406593406593407	0
Q15050	0	0.9127906976744186	0
Q9Y3U8	0	0.9333333333333333	0
Q9NWT1	0	0.9705882352941176	0
Q9NR30	0	0.9558011049723757	0
Q9UK17	0	0.78125	0
P68431	0	0.849015317286652	0
Q99575	0	0.8764044943820225	0
Q13310	0	0.9030303030303031	0
Q9BUJ2	0	0.9300699300699301	0
Q15397	0	0.9375	0
Q9UNX3	0	0.8588957055214724	0
P62910	0	0.9090909090909091	0
P62750	0	0.9142857142857143	0
Q07020	0	0.8973384030418251	0
Q99676	0	0.8125	0
Q96AC1	0	0.8125	0
Q9H7E9	0	0.8	0
Q6DKI1	0	0.9666666666666667	0
Q96GQ7	0	0.9647058823529412	0
Q9NQ55	0	0.864	0
Q6PK04	0	1.0	0
Q99496	0	0.8478260869565217	0
Q16539	0	0.7686832740213523	0
Q02878	0	0.8954703832752613	0
Q09161	0	0.8421052631578947	0
Q9UGY1	0	0.8085106382978723	0
Q9BRZ2	0	0.9615384615384616	0
Q9H7B2	0	0.9625	0
P62899	0	0.936046511627907	0
P62854	0	0.8653846153846154	0
Q15022	0	0.8783783783783784	0
Q9BZE4	0	0.8984375	0
Q9UET6	0	0.9090909090909091	0
Q14790	0	0.8195121951219512	0
Q9BRT6	0	1.0	0
Q504Q3	0	0.8610354223433242	0
Q9Y6M1	0	0.9433962264150944	0
P62888	0	0.8888888888888888	0
Q00577	0	0.9375	0
Q9Y324	0	0.546875	0
Q9H9Y2	0	0.9230769230769231	0
Q9NVX2	0	0.8648648648648649	0
Q7Z2W4	0	0.9066666666666666	0
Q96D46	0	0.7794117647058824	0
Q9BXY0	0	0.9242424242424242	0
Q9Y6E2	0	0.7575757575757576	0
P62913	0	0.9345794392523364	0
P84090	0	0.9166666666666666	0
P62917	0	0.9036697247706422	0
Q9NRW3	0	0.9375	0
Q99848	0	0.9312977099236641	0
Q9GZR7	0	0.8922155688622755	0
