name	is_seed	spd	component_id
P67870	1	1.0	0
P29692	1	1.0	0
Q969G3	1	1.0	0
P51532	1	1.0	0
Q9UKV0	1	1.0	0
Q96ST3	1	1.0	0
P35659	1	1.0	0
Q8WUI4	1	1.0	0
Q14683	1	1.0	0
P62826	1	1.0	0
P19838	1	1.0	0
P51531	1	1.0	0
Q8WYH8	1	1.0	0
Q7L7L0	1	1.0	0
Q9BTM1	1	1.0	0
Q93077	1	1.0	0
P09884	1	1.0	0
P29590	1	1.0	0
O95793	1	1.0	0
P00338	1	1.0	0
P06733	1	1.0	0
P19525	1	1.0	0
P07195	1	1.0	0
Q96GY0	1	1.0	0
P48730	1	1.0	0
Q7L4P6	1	1.0	0
Q9Y287	1	1.0	0
Q9Y5A6	1	1.0	0
Q8N5R6	1	1.0	0
Q8NCM8	1	1.0	0
Q96EZ8	1	1.0	0
Q8WWM7	1	1.0	0
P12277	1	1.0	0
O75533	1	1.0	0
Q9UKL0	1	1.0	0
P06241	1	1.0	0
O96006	1	1.0	0
Q7Z434	1	1.0	0
Q5JR59	1	1.0	0
Q9UPY8	1	1.0	0
Q9P1Z3	1	1.0	0
Q9Y2G8	1	1.0	0
P07947	1	1.0	0
Q9H2X6	1	1.0	0
O14770	1	1.0	0
P17028	1	1.0	0
Q5VSY0	1	1.0	0
Q14576	1	1.0	0
O15379	1	1.0	0
P28370	1	1.0	0
P49458	1	1.0	0
Q8N8U2	1	1.0	0
O00327	1	1.0	0
O60264	1	1.0	0
O95602	1	1.0	0
O75928	1	1.0	0
P12036	1	1.0	0
P60022	1	1.0	0
O14686	1	1.0	0
P51808	1	1.0	0
P18859	1	1.0	0
O60437	1	1.0	0
O76064	1	1.0	0
O14981	1	1.0	0
O95273	1	1.0	0
O95786	1	1.0	0
O60814	1	1.0	0
O60262	1	1.0	0
O95153	1	1.0	0
O60519	1	1.0	0
O14734	1	1.0	0
O60760	1	1.0	0
Q9NUX5	0	0.7294117647058823	0
Q9Y2W1	0	0.9838709677419355	0
