P19224,P22310
Q9NYY1,Q9UHF4
Q6ISB3,Q9NZI5
Q6ISB3,Q8TE85
P23280,Q6A162
Q96LB8,Q96LB9
P98187,Q9HCS2
P00995,P98073
P14679,P17643
Q8TE85,Q9NZI5
Q9NPH6,Q9NY56
Q5T752,Q9BYS1
